Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App,26,,,22,,,,,
2012,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm,4,,,,,,,,
2012,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Enr,,,,,,,,,
2012,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App,25,,,,,,19,,
2012,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm,5,,,,,,4,,
2012,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Enr,3,,,,,,,,
2012,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App,57,,,13,,43,,,
2012,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm,11,,,,,10,,,
2012,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Enr,6,,,,,,,,
2012,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App,46,10,,9,,13,11,,
2012,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm,4,,,,,,3,,
2012,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enr,,,,,,,,,
2012,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,App,17,,,15,,,,,
2012,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm,,,,,,,,,
2012,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App,25,,,23,,,,,
2012,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm,9,,,8,,,,,
2012,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enr,5,,,4,,,,,
2012,ANIMO LOCKE II CHARTER HS,Los Angeles,Los Angeles,App,21,10,,10,,,,,
2012,ANIMO LOCKE II CHARTER HS,Los Angeles,Los Angeles,Adm,,,,,,,,,
2012,ANIMO LOCKE II CHARTER HS,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,App,9,,,,,,,,
2012,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Adm,,,,,,,,,
2012,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,App,6,,,,,,,,
2012,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,Adm,,,,,,,,,
